"","X","SEX","RACE","RELIG","FUND","MARITAL","ATTEND","PREMARSX","XMARSEX","HOMOSEX","TEENSEX","ABANY","CAPPUN","GUNLAW","GRASS","PRAYER","NATCITY","NATHEAL","NATCRIME","NATDRUG","NATEDUC","NATRACE","NATFARE","NATROAD","NATMASS","CONCLERG","CONEDUC","CONFED","CONPRESS","CONJUDGE","CONLEGIS","FECHLD","FEHELP","FEPRESCH","FEFAM","RACDIF1","LIVEBLKS","MARBLK","DISCAFF","PARTY","IDEOLOGY","AGESUM","INCOME","EDUC2","REGION2","CITY","RURAL","PROT","NEWFUND"
"752",752,"female","Black","Protestant","fundamentalist","Married",NA,"Always wrong",NA,NA,"Always wrong",NA,"Oppose",NA,"Should not","Approve","Too little","About right","Too little","Too little","About right","About right","Too much","About right","About right","Hardly confidnce","some confidence","some confidence","Hardly confidnce","some confidence","some confidence","Agree","Disagree","Agree","Disagree","Yes","Not Favor/Opposd","Not Favor/Opposd",NA,"Independent","moderate","45 to 59","$60,000 or more","some college","South","central city (top 100)",0,1,3
"753",753,"male","Black","None","liberal","Never married","NEVER",NA,"Not wrong at all","Wrong sometimes",NA,"Yes","Oppose","Favor","Should not",NA,NA,NA,NA,NA,NA,NA,NA,"Too little","About right","some confidence","great confidence","great confidence","great confidence","great confidence","great confidence",NA,NA,NA,NA,NA,NA,NA,"Not very likely","Democrat","moderate","18 to 29","$20,000 to $34,999","college graduate","South","central city (top 100)",0,0,1
"754",754,"female","White","Protestant","fundamentalist","Married","EVERY WEEK",NA,"Always wrong","Always wrong",NA,"No","Favor","Favor","Should not",NA,"Too little","About right","Too little","Too much","Too little","Too little","About right","Too little","Too little","some confidence","some confidence","some confidence","some confidence","some confidence","some confidence",NA,NA,NA,NA,NA,NA,NA,"Somewhat likely","Democrat","moderate","60 or older","$20,000 to $34,999","college graduate","South","central city (top 100)",0,1,3
"755",755,"male","Black","Other",NA,"Married","NEARLY EVERY WK",NA,"Always wrong","Always wrong",NA,"No","Favor","Favor","Should not",NA,"Too little","Too little","Too little","Too little","Too little","Too little","Too much","Too much","About right","some confidence","some confidence","some confidence","Hardly confidnce","Hardly confidnce","some confidence",NA,NA,NA,NA,NA,NA,NA,"Not very likely","Independent","moderate","30 to 44","$60,000 or more","some college","South","central city (top 100)",0,0,NA
"756",756,"male","White","Catholic","moderate","Never married","SEVERAL TIMES YR","Not wrong at all",NA,NA,"Wrong sometimes",NA,NA,NA,"Should not","Disapprove",NA,NA,NA,NA,NA,NA,NA,"Too little","About right","great confidence","great confidence","some confidence","Hardly confidnce","some confidence","great confidence","Agree","Strong disagree","Agree","Strong disagree","No","Very Much Favor","Not Favor/Opposd",NA,"Republican","moderate","30 to 44","under $20,000","high school graduate","South","central city (top 100)",0,0,NA
"757",757,"female","Black","Protestant","liberal","Widowed","2-3 TIMES MONTH",NA,"Wrong sometimes","Always wrong",NA,"No","Favor","Favor","Should not",NA,NA,NA,NA,NA,NA,NA,NA,"Too little","About right","great confidence","great confidence","great confidence","Hardly confidnce","great confidence","Hardly confidnce",NA,NA,NA,NA,NA,NA,NA,NA,"Democrat","liberal","60 or older","under $20,000","high school graduate","South","central city (top 100)",0,1,1
"758",758,"female","Black","Catholic","moderate","Separated","EVERY WEEK",NA,"Always wrong",NA,NA,"No","Oppose","Favor","Should not",NA,"Too little","Too little","Too little","Too little","About right","Too little",NA,"About right","About right","great confidence","some confidence","great confidence","Hardly confidnce","some confidence","Hardly confidnce",NA,NA,NA,NA,NA,NA,NA,"Not very likely","Democrat","liberal","30 to 44","$20,000 to $34,999","some college","South","central city (top 100)",0,0,NA
"759",759,"male","White","None","liberal","Married","LESS ONCE A YEAR",NA,"Always wrong","Not wrong at all",NA,"Yes","Oppose","Favor","Should not",NA,"About right","About right","Too little","Too little","Too little","Too little","About right","Too little","Too little","Hardly confidnce","some confidence","great confidence","some confidence","great confidence","great confidence",NA,NA,NA,NA,NA,NA,NA,"Not very likely","Independent","liberal","18 to 29","$20,000 to $34,999","college graduate","South","central city (top 100)",0,0,1
"760",760,"male","White","Protestant","liberal","Divorced","SEVERAL TIMES YR","Not wrong at all",NA,NA,"Always wrong",NA,"Favor",NA,"Should",NA,"Too little","Too little","Too little","About right","About right","About right","About right","About right","About right","some confidence","some confidence","Hardly confidnce","some confidence","some confidence","Hardly confidnce","Agree","Disagree","Disagree","Agree","No","Not Favor/Opposd","Not Favor/Opposd",NA,"Independent","moderate","45 to 59","$35,000 to $59,000","college graduate","South","central city (top 100)",0,1,1
"761",761,"female","Black","Protestant","fundamentalist","Widowed","LESS ONCE A YEAR","Always wrong",NA,NA,"Always wrong",NA,"Favor",NA,"Should","Disapprove",NA,NA,NA,NA,NA,NA,NA,"Too little","Too little","some confidence","Hardly confidnce","Hardly confidnce","Hardly confidnce","some confidence","Hardly confidnce","Strongly agree","Disagree","Disagree","Disagree","Yes","Very Much Favor","Not Favor/Opposd",NA,"Independent","conservative","18 to 29","$35,000 to $59,000","some college","South","central city (top 100)",0,1,3
"762",762,"female","Black","Protestant","fundamentalist","Never married","NEVER",NA,"Wrong sometimes","Always wrong",NA,"No","Favor","Favor","Should not",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Too little","some confidence","some confidence","some confidence","some confidence","some confidence","some confidence",NA,NA,NA,NA,NA,NA,NA,"Not very likely","Independent","moderate","30 to 44",NA,"high school graduate","South","central city (top 100)",0,1,3
"763",763,"female","White","Catholic","moderate","Divorced","NEVER",NA,"Always wrong","Not wrong at all",NA,"Yes","Favor","Favor",NA,NA,"Too little","Too little","Too little","Too little","Too little","Too little",NA,"About right","About right","some confidence","some confidence","Hardly confidnce","some confidence","Hardly confidnce","Hardly confidnce",NA,NA,NA,NA,NA,NA,NA,"Somewhat likely","Democrat","liberal","60 or older","$35,000 to $59,000","some college","South","central city (top 100)",0,0,NA
"764",764,"female","Black","Catholic","moderate","Widowed","NEARLY EVERY WK",NA,"Always wrong","Always wrong",NA,"No","Oppose","Favor","Should not",NA,NA,NA,NA,NA,NA,NA,NA,"About right","About right","great confidence","great confidence","great confidence","great confidence","great confidence","some confidence",NA,NA,NA,NA,NA,NA,NA,"Not very likely","Democrat","moderate","45 to 59","$60,000 or more","college graduate","South","central city (top 100)",0,0,NA
"765",765,"male","White","None","liberal","Married","NEVER","Not wrong at all","Always wrong","Not wrong at all","Always wrong","Yes","Favor","Favor",NA,"Disapprove",NA,NA,NA,NA,NA,NA,NA,"About right","About right",NA,NA,NA,NA,NA,NA,"Agree","Strong disagree","Strong disagree","Strong disagree","No","Somewhat Opposed","Not Favor/Opposd","Not very likely","Independent","moderate","30 to 44",NA,"college graduate","South","central city (top 100)",0,0,1
"766",766,"female","White","Protestant","liberal","Never married","SEVERAL TIMES YR","Not wrong at all",NA,NA,"Almst alwys wrng",NA,"Oppose",NA,"Should","Approve","Too little","Too little","About right","Too little","Too little","About right","About right","About right","About right","great confidence","some confidence","some confidence","some confidence","great confidence","some confidence","Agree","Disagree","Disagree","Strong disagree","No","Not Favor/Opposd","Not Favor/Opposd",NA,"Democrat","liberal","18 to 29","$20,000 to $34,999","college graduate","South","central city (top 100)",0,1,1
"767",767,"female","White","Protestant","moderate","Divorced","SEVERAL TIMES YR",NA,"Always wrong","Not wrong at all",NA,"Yes","Oppose","Favor","Should not",NA,"About right","Too little","Too little","Too little","About right","About right","Too much","Too little","Too little","some confidence","some confidence","Hardly confidnce","some confidence","great confidence","some confidence",NA,NA,NA,NA,NA,NA,NA,NA,"Republican","conservative","60 or older","under $20,000","some college","South","central city (top 100)",0,1,NA
"768",768,"female","White","Catholic","moderate","Married","EVERY WEEK",NA,"Always wrong","Wrong sometimes",NA,"No","Oppose","Favor","Should not",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"great confidence","some confidence","some confidence","some confidence",NA,"some confidence",NA,NA,NA,NA,NA,NA,NA,"Somewhat likely","Independent",NA,"30 to 44",NA,"some college","South","central city (top 100)",0,0,NA
"769",769,"female","Black","Other",NA,"Divorced","EVERY WEEK","Always wrong",NA,NA,"Always wrong",NA,"Favor",NA,"Should not","Disapprove",NA,NA,NA,NA,NA,NA,NA,"About right","About right","great confidence","some confidence",NA,"some confidence",NA,"some confidence","Strong disagree","Disagree","Agree","Strongly agree","Yes","Not Favor/Opposd","Somewhat Opposed",NA,"Democrat",NA,"30 to 44","under $20,000","some college","South","central city (top 100)",0,0,NA
"770",770,"female","White","Protestant","moderate","Widowed","SEVERAL TIMES WK",NA,"Always wrong","Always wrong",NA,"No","Oppose","Favor","Should not",NA,"About right","Too little","Too little","Too little","Too little","Too little","Too much","About right","About right","great confidence","some confidence","some confidence","Hardly confidnce","Hardly confidnce","some confidence",NA,NA,NA,NA,NA,NA,NA,"Not very likely","Independent","moderate","45 to 59","$35,000 to $59,000","college graduate","South","central city (top 100)",0,1,NA
"771",771,"male","Black","Protestant","fundamentalist","Married","EVERY WEEK",NA,"Always wrong","Always wrong",NA,"No","Oppose","Favor","Should not",NA,"Too little","Too little","Too little","Too little","Too little","About right","About right","Too little","Too little","some confidence","some confidence","great confidence","Hardly confidnce","Hardly confidnce","Hardly confidnce",NA,NA,NA,NA,NA,NA,NA,"Not very likely","Democrat","conservative","45 to 59","$35,000 to $59,000","less than h.s. diploma","South","rural county",1,1,3
"772",772,"male","Black","Protestant","fundamentalist","Widowed","ONCE A MONTH",NA,"Always wrong","Always wrong",NA,"No","Oppose","Favor","Should not",NA,NA,NA,NA,NA,NA,NA,NA,"About right","About right","great confidence","great confidence","great confidence","great confidence","Hardly confidnce","Hardly confidnce",NA,NA,NA,NA,NA,NA,NA,"Not very likely","Democrat","moderate","60 or older","under $20,000","less than h.s. diploma","South","rural county",1,1,3
"773",773,"male","Black","Protestant","fundamentalist","Divorced","2-3 TIMES MONTH","Not wrong at all",NA,NA,"Always wrong",NA,"Favor",NA,"Should","Disapprove","Too much","Too little","Too little","Too little","Too little","Too little","Too little","Too little",NA,"some confidence","Hardly confidnce","great confidence","Hardly confidnce","some confidence","some confidence","Agree","Disagree","Agree","Agree","Yes",NA,"Not Favor/Opposd",NA,"Democrat","conservative","45 to 59","under $20,000","less than h.s. diploma","South","rural county",1,1,3
"774",774,"female","White","Protestant","fundamentalist","Widowed","EVERY WEEK","Always wrong",NA,NA,"Always wrong",NA,"Favor",NA,"Should not","Disapprove","About right","Too little","About right","Too little","Too little","Too much","Too much","Too little","About right","great confidence","great confidence","great confidence","Hardly confidnce","some confidence","some confidence","Strong disagree","Strongly agree","Strongly agree","Strongly agree","No","Not Favor/Opposd","Very Much Opposd",NA,"Democrat","moderate","60 or older","under $20,000","less than h.s. diploma","South","rural county",1,1,3
"775",775,"male","White","Protestant","liberal","Widowed","EVERY WEEK",NA,"Always wrong","Always wrong",NA,"No","Favor","Oppose","Should not",NA,"About right",NA,"Too little","Too little","Too little","Too much","Too much","Too much","About right","great confidence","some confidence","some confidence","some confidence","some confidence","some confidence",NA,NA,NA,NA,NA,NA,NA,"Very likely","Republican","conservative","60 or older","$20,000 to $34,999","college graduate","South","rural county",1,1,1
"776",776,"male","Black","Protestant","fundamentalist","Separated","ONCE OR TWICE YR","Always wrong",NA,NA,"Always wrong",NA,"Favor",NA,"Should not","Disapprove","Too little","Too little","Too little","Too little","Too little","Too much","Too much","Too little","Too much","some confidence","Hardly confidnce","Hardly confidnce","Hardly confidnce",NA,"Hardly confidnce","Strong disagree","Strongly agree","Strongly agree","Strongly agree","No","Not Favor/Opposd","Very Much Opposd",NA,"Democrat","moderate","45 to 59","under $20,000","less than h.s. diploma","South","rural county",1,1,3
"777",777,"female","White","Protestant","fundamentalist","Never married","NEARLY EVERY WK",NA,"Always wrong","Always wrong",NA,"No","Favor","Favor","Should not",NA,"About right","About right","About right","About right","About right","Too much","Too much","Too little","About right","some confidence","some confidence","some confidence","some confidence","some confidence","some confidence",NA,NA,NA,NA,NA,NA,NA,"Very likely","Republican","moderate","45 to 59","under $20,000","some college","South","rural county",1,1,3
"778",778,"female","White","Catholic","moderate","Never married","ONCE A MONTH","Not wrong at all",NA,NA,"Wrong sometimes",NA,"Favor",NA,"Should not","Disapprove","Too little","Too little","Too little","About right","About right","Too little","About right","About right","About right","some confidence","some confidence","Hardly confidnce","Hardly confidnce","some confidence","some confidence","Disagree","Strong disagree","Agree","Agree","No","Not Favor/Opposd","Somewhat Favor",NA,"Republican","moderate","18 to 29","under $20,000","some college","West","other urban county",0,0,NA
"779",779,"female","White","Protestant","fundamentalist","Married","EVERY WEEK",NA,"Always wrong","Always wrong",NA,"No","Favor","Favor","Should not",NA,NA,NA,NA,NA,NA,NA,NA,"About right","Too little","some confidence","some confidence","some confidence","some confidence","great confidence","some confidence",NA,NA,NA,NA,NA,NA,NA,"Not very likely","Republican","conservative","30 to 44","$60,000 or more","college graduate","West","other urban county",0,1,3
"780",780,"male","White","Protestant","liberal","Married","LESS ONCE A YEAR","Not wrong at all","Always wrong","Not wrong at all","Not wrong at all","Yes","Favor","Oppose",NA,"Approve",NA,NA,NA,NA,NA,NA,NA,"About right","About right",NA,NA,NA,NA,NA,NA,"Disagree","Disagree","Agree","Disagree","No","Not Favor/Opposd","Somewhat Opposed","Somewhat likely","Republican","conservative","45 to 59","$60,000 or more","college graduate","West","other urban county",0,1,1
"781",781,"female","White","Protestant","fundamentalist","Divorced","EVERY WEEK",NA,"Always wrong","Almst alwys wrng",NA,"No","Favor","Oppose","Should not",NA,"Too little","Too little","Too little","About right","Too little","About right","About right","Too little","Too little","some confidence","some confidence","some confidence","some confidence","some confidence","some confidence",NA,NA,NA,NA,NA,NA,NA,"Not very likely","Democrat","conservative","30 to 44","$35,000 to $59,000","some college","West","other urban county",0,1,3
"782",782,"female","White","Protestant","moderate","Separated","SEVERAL TIMES YR",NA,"Always wrong","Always wrong",NA,NA,"Favor","Favor","Should not",NA,NA,NA,NA,NA,NA,NA,NA,"About right","About right","great confidence","Hardly confidnce","Hardly confidnce","Hardly confidnce","some confidence","Hardly confidnce",NA,NA,NA,NA,NA,NA,NA,"Somewhat likely","Independent","liberal","30 to 44","$20,000 to $34,999","college graduate","West","other urban county",0,1,NA
"783",783,"female","White","Protestant","liberal","Married","LESS ONCE A YEAR","Not wrong at all","Always wrong",NA,"Always wrong","No","Favor","Favor",NA,"Disapprove",NA,NA,NA,NA,NA,NA,NA,"About right","Too little",NA,NA,NA,NA,NA,NA,"Agree","Strong disagree","Disagree","Disagree","Yes","Very Much Opposd","Not Favor/Opposd","Not very likely","Independent",NA,"30 to 44","$60,000 or more","high school graduate","West","other urban county",0,1,1
"784",784,"female","White","Protestant","moderate","Divorced","SEVERAL TIMES WK","Not wrong at all",NA,NA,"Always wrong",NA,"Oppose",NA,"Should not","Disapprove","About right","Too little","Too little","Too little","Too little","Too little","About right","Too much","About right","great confidence","Hardly confidnce","some confidence","Hardly confidnce","great confidence","some confidence","Strongly agree","Strong disagree","Strong disagree","Strong disagree","No","Very Much Favor","Very Much Favor",NA,"Democrat","liberal","45 to 59","$35,000 to $59,000","some college","West","other urban county",0,1,NA
"785",785,"male","White","Protestant","moderate","Married","SEVERAL TIMES WK","Always wrong","Always wrong","Always wrong","Always wrong","No","Favor","Favor",NA,"Disapprove","Too little","About right","Too little","Too little","About right","About right","Too much","About right","About right",NA,NA,NA,NA,NA,NA,"Strong disagree","Disagree","Strongly agree","Agree","No","Somewhat Favor","Somewhat Favor","Somewhat likely","Republican","conservative","45 to 59","$60,000 or more","college graduate","West","other urban county",0,1,NA
"786",786,"female","Black","Protestant","liberal","Widowed","EVERY WEEK",NA,"Always wrong","Always wrong",NA,"No","Oppose","Favor","Should",NA,NA,"Too little","About right","About right","Too little","Too little","About right","Too little","Too little","Hardly confidnce","some confidence","great confidence","Hardly confidnce","Hardly confidnce","Hardly confidnce",NA,NA,NA,NA,NA,NA,NA,"Not very likely","Independent","liberal","60 or older","under $20,000","some college","West","other urban county",0,1,1
"787",787,"male","White","None","liberal","Married","NEVER",NA,"Always wrong",NA,NA,"Yes","Favor","Oppose","Should not",NA,NA,NA,NA,NA,NA,NA,NA,"About right",NA,"some confidence","some confidence","some confidence","some confidence","some confidence","some confidence",NA,NA,NA,NA,NA,NA,NA,"Somewhat likely","Democrat","liberal","45 to 59","$35,000 to $59,000","less than h.s. diploma","West","other urban county",0,0,1
"788",788,"female","White","Protestant","moderate","Never married","ONCE OR TWICE YR","Wrong sometimes","Always wrong","Wrong sometimes","Always wrong","No","Favor","Favor",NA,"Approve",NA,NA,NA,NA,NA,NA,NA,"Too little","About right",NA,NA,NA,NA,NA,NA,"Agree","Strong disagree","Disagree","Strong disagree",NA,"Not Favor/Opposd","Not Favor/Opposd","Somewhat likely","Democrat","liberal","30 to 44","$35,000 to $59,000","college graduate","West","other urban county",0,1,NA
"789",789,"female","White","Catholic","moderate","Widowed","SEVERAL TIMES WK",NA,"Always wrong","Always wrong",NA,"No","Favor","Favor","Should not",NA,"Too little","Too little","Too little","About right","Too little","Too little","Too much","Too little","Too little","great confidence","great confidence","Hardly confidnce","Hardly confidnce","some confidence","some confidence",NA,NA,NA,NA,NA,NA,NA,"Somewhat likely","Democrat","moderate","60 or older","under $20,000","some college","Northeast","other urban county",0,0,NA
"790",790,"female","White",NA,NA,"Married","NEVER","Wrong sometimes",NA,NA,"Always wrong",NA,"Favor",NA,"Should not","Approve","Too little","Too little","Too little","About right","Too little","About right","Too much","About right","Too little","some confidence","some confidence","some confidence","Hardly confidnce","some confidence","some confidence","Disagree","Disagree","Strongly agree","Agree","No","Not Favor/Opposd","Somewhat Favor",NA,"Republican","conservative","30 to 44","$60,000 or more","high school graduate","Northeast","other urban county",0,0,NA
"791",791,"female","White","None","liberal","Never married","ONCE OR TWICE YR","Wrong sometimes",NA,NA,"Always wrong",NA,"Favor",NA,"Should not","Approve",NA,NA,NA,NA,NA,NA,NA,"Too little","About right","some confidence","some confidence","some confidence","some confidence","some confidence","some confidence","Agree","Disagree","Disagree","Disagree","Yes","Not Favor/Opposd","Very Much Favor",NA,"Independent","liberal","18 to 29","$35,000 to $59,000","college graduate","Northeast","other urban county",0,0,1
"792",792,"female","White","Protestant","liberal","Married","EVERY WEEK","Always wrong","Always wrong","Always wrong","Always wrong","No","Oppose","Favor",NA,"Disapprove","About right","Too little","Too little","Too little","Too little","About right","Too much","About right","About right",NA,NA,NA,NA,NA,NA,"Disagree","Disagree","Disagree","Agree","No","Not Favor/Opposd","Not Favor/Opposd","Somewhat likely","Republican","moderate","30 to 44","$20,000 to $34,999","high school graduate","Northeast","other urban county",0,1,1
"793",793,"female","White","Catholic","moderate","Never married","LESS ONCE A YEAR","Not wrong at all",NA,NA,"Always wrong",NA,"Oppose",NA,NA,"Disapprove","About right","Too little","Too little","Too little","About right","Too little","Too much","About right",NA,"some confidence","some confidence","great confidence","great confidence","great confidence","some confidence","Agree","Disagree","Disagree","Disagree","No","Not Favor/Opposd","Not Favor/Opposd",NA,"Democrat","liberal","60 or older","$20,000 to $34,999","some college","South","rural county",1,0,NA
"794",794,"female","White","Catholic","moderate","Married","EVERY WEEK",NA,"Always wrong","Always wrong",NA,"No","Favor","Favor","Should not",NA,"Too little","Too little","Too little","Too little","Too little",NA,"Too much","About right","About right","great confidence","great confidence","some confidence","some confidence",NA,"some confidence",NA,NA,NA,NA,NA,NA,NA,NA,"Democrat",NA,"60 or older","under $20,000","less than h.s. diploma","South","rural county",1,0,NA
"795",795,"male","White","Protestant","fundamentalist","Married","LESS ONCE A YEAR",NA,"Always wrong","Always wrong",NA,"No","Favor","Favor","Should",NA,NA,NA,NA,NA,NA,NA,NA,"About right","About right","some confidence","some confidence","great confidence","great confidence","some confidence","some confidence",NA,NA,NA,NA,NA,NA,NA,"Very likely","Independent","conservative","45 to 59","under $20,000","some college","South","rural county",1,1,3
"796",796,"male","White","Protestant","liberal","Divorced","ONCE OR TWICE YR",NA,"Almst alwys wrng","Almst alwys wrng","Almst alwys wrng","Yes","Favor","Favor",NA,"Disapprove",NA,NA,NA,NA,NA,NA,NA,"About right","Too little",NA,NA,NA,NA,NA,NA,"Agree","Disagree","Disagree","Disagree",NA,"Somewhat Opposed","Not Favor/Opposd","Not very likely","Republican","conservative","60 or older","$35,000 to $59,000","some college","South","rural county",1,1,1
"797",797,"female","Other","Other",NA,"Married","EVERY WEEK","Always wrong","Always wrong","Always wrong","Always wrong","No","Favor","Favor",NA,"Disapprove",NA,NA,NA,NA,NA,NA,NA,"About right","Too little",NA,NA,NA,NA,NA,NA,"Agree","Agree","Disagree","Agree",NA,"Somewhat Favor","Very Much Opposd","Not very likely","Independent",NA,"30 to 44",NA,"high school graduate","South","other urban county",0,0,NA
"798",798,"male","White","Protestant","fundamentalist","Married","NEVER","Not wrong at all",NA,NA,"Always wrong",NA,"Favor",NA,"Should not","Disapprove",NA,NA,NA,NA,NA,NA,NA,"Too little","Too much","great confidence","some confidence","Hardly confidnce","some confidence","some confidence","some confidence","Agree","Disagree","Disagree","Disagree","No","Very Much Opposd","Very Much Opposd",NA,"Independent","conservative","60 or older","$60,000 or more","high school graduate","South","other urban county",0,1,3
"799",799,"male","White","Protestant","fundamentalist","Never married","SEVERAL TIMES YR","Not wrong at all",NA,NA,"Not wrong at all",NA,"Favor",NA,"Should","Disapprove",NA,NA,NA,NA,NA,NA,NA,"Too much","Too much","Hardly confidnce","Hardly confidnce","Hardly confidnce","Hardly confidnce","some confidence","Hardly confidnce","Agree","Strong disagree","Agree","Strong disagree","No","Not Favor/Opposd","Not Favor/Opposd",NA,"Independent","liberal","18 to 29","$35,000 to $59,000","high school graduate","South","other urban county",0,1,3
"800",800,"female","White","Protestant","liberal","Married","SEVERAL TIMES WK","Always wrong",NA,NA,"Always wrong",NA,"Oppose",NA,"Should not","Disapprove","Too much","About right","About right","About right","Too little","About right","About right","About right","Too little","great confidence","some confidence","Hardly confidnce","some confidence","great confidence","some confidence","Disagree","Agree","Agree","Agree","Yes","Not Favor/Opposd","Not Favor/Opposd",NA,"Republican","moderate","60 or older","$20,000 to $34,999","some college","South","other urban county",0,1,1
"801",801,"female","White","Protestant","liberal","Married","EVERY WEEK","Always wrong","Always wrong","Always wrong","Always wrong","No","Favor","Favor",NA,"Disapprove",NA,NA,NA,NA,NA,NA,NA,"About right","About right",NA,NA,NA,NA,NA,NA,"Strongly agree","Disagree","Disagree","Agree","No","Not Favor/Opposd","Somewhat Opposed","Somewhat likely","Democrat","liberal","45 to 59","$60,000 or more","some college","South","other urban county",0,1,1
"802",802,"male","White","Protestant","fundamentalist","Married","SEVERAL TIMES WK","Always wrong",NA,NA,"Always wrong",NA,"Favor",NA,"Should not","Disapprove","Too much","About right","Too little","About right","Too little","About right","Too much","About right","Too much","great confidence","great confidence","some confidence","Hardly confidnce","some confidence","some confidence","Strong disagree","Disagree","Agree","Agree","No","Very Much Opposd","Very Much Opposd",NA,"Democrat","moderate","45 to 59","$35,000 to $59,000","college graduate","South","other urban county",0,1,3
"803",803,"female","White","Protestant","fundamentalist","Divorced","SEVERAL TIMES YR","Always wrong",NA,NA,"Always wrong",NA,"Favor",NA,"Should not","Disapprove","About right","Too little","Too little","Too little","About right","About right","Too much","About right","About right","some confidence","some confidence","some confidence","some confidence","some confidence","some confidence","Strongly agree","Disagree","Strong disagree","Strong disagree","No","Not Favor/Opposd","Very Much Opposd",NA,"Democrat","moderate","45 to 59","$20,000 to $34,999","high school graduate","South","other urban county",0,1,3
"804",804,"male","White","Protestant","liberal","Widowed","2-3 TIMES MONTH","Wrong sometimes",NA,NA,"Almst alwys wrng",NA,"Favor",NA,"Should not","Approve",NA,NA,NA,NA,NA,NA,NA,"About right","About right","some confidence","some confidence","some confidence","some confidence","some confidence","some confidence","Disagree","Disagree","Agree","Agree","No","Not Favor/Opposd","Very Much Opposd",NA,"Republican","conservative","60 or older",NA,"high school graduate","North Central","other urban county",0,1,1
"805",805,"female","White","Protestant","liberal","Widowed","NEARLY EVERY WK",NA,"Always wrong","Always wrong",NA,"No","Oppose","Favor","Should not",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"great confidence","great confidence","some confidence","some confidence","some confidence","some confidence",NA,NA,NA,NA,NA,NA,NA,"Very likely","Republican","moderate","45 to 59","$35,000 to $59,000","high school graduate","North Central","other urban county",0,1,1
"806",806,"male","White","Catholic","moderate","Divorced","ONCE A MONTH","Wrong sometimes",NA,NA,"Always wrong",NA,"Favor",NA,"Should not","Disapprove","About right","Too little","Too little","Too little","Too little","Too little","About right","Too little","About right","some confidence","some confidence","great confidence","Hardly confidnce","some confidence","Hardly confidnce","Agree","Disagree","Disagree","Strong disagree","Yes","Not Favor/Opposd","Somewhat Opposed",NA,"Republican","moderate","45 to 59","$60,000 or more","high school graduate","North Central","other urban county",0,0,NA
"807",807,"male","White","Protestant","liberal","Never married","SEVERAL TIMES YR","Wrong sometimes","Always wrong","Always wrong","Always wrong","No","Favor","Favor",NA,"Approve","Too little","About right","Too little","Too little","About right","About right","Too little","About right","About right",NA,NA,NA,NA,NA,NA,"Agree","Disagree","Agree","Disagree","No","Very Much Opposd","Very Much Opposd","Not very likely","Democrat","liberal","18 to 29","under $20,000","high school graduate","North Central","other urban county",0,1,1
"808",808,"female","White","Protestant","moderate","Divorced","ONCE OR TWICE YR",NA,"Almst alwys wrng","Always wrong",NA,"No","Favor","Favor","Should not",NA,NA,NA,NA,NA,NA,NA,NA,"About right","About right","great confidence","some confidence","some confidence","Hardly confidnce","great confidence","some confidence",NA,NA,NA,NA,NA,NA,NA,"Very likely","Independent","conservative","30 to 44","$20,000 to $34,999","less than h.s. diploma","North Central","other urban county",0,1,NA
"809",809,"female","White","Protestant","fundamentalist","Divorced","NEVER","Almst alwys wrng",NA,NA,"Always wrong",NA,"Favor",NA,"Should not","Disapprove",NA,"Too little",NA,NA,NA,NA,"Too little",NA,NA,"Hardly confidnce","great confidence","some confidence","some confidence","some confidence",NA,"Disagree","Agree","Agree","Agree","Yes","Somewhat Opposed","Very Much Opposd",NA,"Democrat","liberal","60 or older","under $20,000","less than h.s. diploma","North Central","other urban county",0,1,3
"810",810,"male","White","Protestant","moderate","Married","EVERY WEEK",NA,"Always wrong","Always wrong",NA,"Yes","Favor","Oppose","Should not",NA,NA,NA,NA,NA,NA,NA,NA,"Too little","Too little","great confidence","great confidence","some confidence","great confidence","great confidence","some confidence",NA,NA,NA,NA,NA,NA,NA,"Somewhat likely","Republican","conservative","60 or older","$35,000 to $59,000","some college","North Central","other urban county",0,1,NA
"811",811,"female","White","Protestant","liberal","Widowed","SEVERAL TIMES YR","Not wrong at all","Always wrong","Not wrong at all","Always wrong","No","Favor","Oppose",NA,"Disapprove",NA,NA,NA,NA,NA,NA,NA,"About right","Too little",NA,NA,NA,NA,NA,NA,"Strongly agree","Disagree","Agree","Disagree","No","Somewhat Favor","Very Much Opposd","Somewhat likely","Republican","moderate","60 or older","$20,000 to $34,999","some college","North Central","other urban county",0,1,1
"812",812,"female","White","None","liberal","Married",NA,"Not wrong at all","Always wrong","Not wrong at all","Always wrong",NA,"Oppose","Favor",NA,"Approve",NA,"Too little","About right","Too little","About right","Too little","About right","About right","Too little",NA,NA,NA,NA,NA,NA,"Agree","Disagree","Agree","Disagree",NA,"Not Favor/Opposd","Not Favor/Opposd","Somewhat likely","Democrat","liberal","30 to 44","$20,000 to $34,999","college graduate","North Central","other urban county",0,0,1
"813",813,"female","White","Protestant","moderate","Married","NEVER","Wrong sometimes","Always wrong","Always wrong","Always wrong","No","Favor","Favor",NA,"Approve",NA,NA,NA,NA,NA,NA,NA,"Too little",NA,NA,NA,NA,NA,NA,NA,"Agree","Strong disagree","Disagree","Disagree","No","Very Much Opposd","Very Much Opposd","Very likely","Independent","moderate","60 or older",NA,"high school graduate","North Central","other urban county",0,1,NA
